file,n_rows,n_videos,has_required_cols,missing_required_cols,D_features,nan_total,nan_by_col_top,step_dtype,step_is_integer_like,step_has_negatives,steps_T_unique_count,steps_T_mode,videos_with_noncontiguous_steps,videos_with_missing_steps_examples,duplicated_rows,meta_inconsistencies,warnings
baseline_CASIAB.csv,13392,432,True,[],256,0,[],int64,True,False,1,31,0,[],0,"{'pitch_side': {'videos_inconsistent': 0, 'examples': {}}, 'kicker_foot': {'videos_inconsistent': 0, 'examples': {}}, 'shoot_zone': {'videos_inconsistent': 0, 'examples': {}}}",[]
baseline_OUMVLP.csv,13392,432,True,[],256,0,[],int64,True,False,1,31,0,[],0,"{'pitch_side': {'videos_inconsistent': 0, 'examples': {}}, 'kicker_foot': {'videos_inconsistent': 0, 'examples': {}}, 'shoot_zone': {'videos_inconsistent': 0, 'examples': {}}}",[]
gaitgl.csv,27648,432,True,[],128,0,[],int64,True,False,1,64,0,[],0,"{'pitch_side': {'videos_inconsistent': 0, 'examples': {}}, 'kicker_foot': {'videos_inconsistent': 0, 'examples': {}}, 'shoot_zone': {'videos_inconsistent': 0, 'examples': {}}}",[]
gaitgl_GREW.csv,27648,432,True,[],256,0,[],int64,True,False,1,64,0,[],0,"{'pitch_side': {'videos_inconsistent': 0, 'examples': {}}, 'kicker_foot': {'videos_inconsistent': 0, 'examples': {}}, 'shoot_zone': {'videos_inconsistent': 0, 'examples': {}}}",[]
gaitgl_GREW_BNNeck.csv,27648,432,True,[],256,0,[],int64,True,False,1,64,0,[],0,"{'pitch_side': {'videos_inconsistent': 0, 'examples': {}}, 'kicker_foot': {'videos_inconsistent': 0, 'examples': {}}, 'shoot_zone': {'videos_inconsistent': 0, 'examples': {}}}",[]
gaitgl_OUMVLP.csv,27648,432,True,[],256,0,[],int64,True,False,1,64,0,[],0,"{'pitch_side': {'videos_inconsistent': 0, 'examples': {}}, 'kicker_foot': {'videos_inconsistent': 0, 'examples': {}}, 'shoot_zone': {'videos_inconsistent': 0, 'examples': {}}}",[]
gaitpart_GREW.csv,6912,432,True,[],256,0,[],int64,True,False,1,16,0,[],0,"{'pitch_side': {'videos_inconsistent': 0, 'examples': {}}, 'kicker_foot': {'videos_inconsistent': 0, 'examples': {}}, 'shoot_zone': {'videos_inconsistent': 0, 'examples': {}}}",[]
gaitpart_OUMVLP.csv,6912,432,True,[],256,0,[],int64,True,False,1,16,0,[],0,"{'pitch_side': {'videos_inconsistent': 0, 'examples': {}}, 'kicker_foot': {'videos_inconsistent': 0, 'examples': {}}, 'shoot_zone': {'videos_inconsistent': 0, 'examples': {}}}",[]
gaitset.csv,26784,432,True,[],256,0,[],int64,True,False,1,62,0,[],0,"{'pitch_side': {'videos_inconsistent': 0, 'examples': {}}, 'kicker_foot': {'videos_inconsistent': 0, 'examples': {}}, 'shoot_zone': {'videos_inconsistent': 0, 'examples': {}}}",[]
gaitset_GREW.csv,26784,432,True,[],256,0,[],int64,True,False,1,62,0,[],0,"{'pitch_side': {'videos_inconsistent': 0, 'examples': {}}, 'kicker_foot': {'videos_inconsistent': 0, 'examples': {}}, 'shoot_zone': {'videos_inconsistent': 0, 'examples': {}}}",[]
gaitset_OUMVLP.csv,26784,432,True,[],256,0,[],int64,True,False,1,62,0,[],0,"{'pitch_side': {'videos_inconsistent': 0, 'examples': {}}, 'kicker_foot': {'videos_inconsistent': 0, 'examples': {}}, 'shoot_zone': {'videos_inconsistent': 0, 'examples': {}}}",[]
gln_phase1.csv,40176,432,True,[],256,0,[],int64,True,False,1,93,0,[],0,"{'pitch_side': {'videos_inconsistent': 0, 'examples': {}}, 'kicker_foot': {'videos_inconsistent': 0, 'examples': {}}, 'shoot_zone': {'videos_inconsistent': 0, 'examples': {}}}",[]
gln_phase2.csv,40176,432,True,[],256,0,[],int64,True,False,1,93,0,[],0,"{'pitch_side': {'videos_inconsistent': 0, 'examples': {}}, 'kicker_foot': {'videos_inconsistent': 0, 'examples': {}}, 'shoot_zone': {'videos_inconsistent': 0, 'examples': {}}}",[]
