num_layers,layer_sizes,bidirectional,norm,dropout,dropout_layers,norm_layers,pooling,fc_hidden,activation,norm_post_lstm,batch_size,optimizer,momentum_sgd,learning_rate,weight_decay,native_mode,source_params
1,[96],False,,0.0,[],[],last,256,tanh,False,32,Adam,,0.001,0.0,True,EXPERIMENT
2,"[96, 128]",True,L2,0.15,"[1]","[]",mean,128,gelu,True,64,AdamW,,0.00025,1e-05,False,EXPERIMENT
2,"[512, 256]",False,minmax,0.0,[],[],attention,512,elu,False,48,AdamW,,0.00035,1e-06,False,EXPERIMENT
3,"[96, 128, 192]",True,,0.3,"[1,2]","[]",max,,,True,32,SGD,0.7,0.0003,1e-06,False,EXPERIMENT
3,"[384, 384, 384]",False,L2,0.0,[],[],mean,256,relu,False,96,Adam,,0.0008,0.0,True,EXPERIMENT
4,"[160, 192, 256, 384]",True,minmax,0.2,"[1]","[1,3]",attention,128,elu,True,64,AdamW,,0.0003,1e-05,False,EXPERIMENT
4,"[512, 384, 256, 192]",False,,0.1,"[2]","[1,2]",mean,256,silu,False,48,RMSprop,,0.0005,1e-05,False,EXPERIMENT
1,[1024],True,L2,0.0,[],[],attention,,,True,32,AdamW,,0.0001,1e-06,True,EXPERIMENT
3,"[1024, 512, 256]",False,minmax,0.4,"[1, 2]","[1, 2]",last,256,gelu,True,64,Adam,,0.0001,0.0,False,EXPERIMENT

3,"[96, 192, 384]",True,L2,0.1,"[1,2]","[2]",attention,256,gelu,True,64,AdamW,,0.0003,1e-06,False,EXPERIMENT_CREC1
4,"[128, 192, 256, 384]",False,minmax,0.2,"[2]","[1]",last,128,relu,False,48,Adam,,0.0002,0.0,False,EXPERIMENT_CREC2
3,"[160, 256, 512]",True,,0.25,"[1]","[1]",mean,512,elu,True,32,RMSprop,,0.0005,1e-05,False,EXPERIMENT_CREC3
2,"[256, 640]",False,L2,0.15,"[1]","[1]",max,256,tanh,True,96,AdamW,,0.00025,2e-06,False,EXPERIMENT_CREC4
4,"[192, 320, 512, 768]",True,minmax,0.3,"[1,3]","[2]",attention,384,silu,True,64,AdamW,,0.00035,1e-06,False,EXPERIMENT_CREC5


1,[320],True,L2,0.0,[],[],mean,320,gelu,True,48,AdamW,,0.00015,1e-06,True,EXPERIMENT_EXTRA
1,[576],False,minmax,0.0,[],[],max,,,False,32,RMSprop,,0.0003,5e-05,True,EXPERIMENT_EXTRA
1,[960],True,,0.0,[],[],last,960,relu,True,128,SGD,0.9,0.0008,1e-06,True,EXPERIMENT_EXTRA
1,[224],False,L2,0.0,[],[],attention,128,tanh,False,16,Adam,,0.0002,0.0,True,EXPERIMENT_EXTRA
2,"[288, 288]",True,minmax,0.2,[],[],mean,256,silu,True,64,AdamW,,0.00025,2e-06,True,EXPERIMENT_EXTRA
3,"[384, 384, 384]",False,,0.3,[],[],max,,,False,32,Adam,,0.0001,1e-05,True,EXPERIMENT_EXTRA
4,"[512, 512, 512, 512]",True,L2,0.1,[],[],attention,512,gelu,True,96,RMSprop,,0.0004,1e-06,True,EXPERIMENT_EXTRA
2,"[832, 832]",False,minmax,0.25,[],[],last,256,elu,False,48,SGD,0.8,0.0005,1e-06,True,EXPERIMENT_EXTRA
3,"[192, 384, 768]",True,L2,0.3,"[1, 2]","[1, 2]",mean,256,relu,True,64,AdamW,,0.0003,5e-06,False,EXPERIMENT_EXTRA
3,"[640, 320, 160]",False,,0.2,"[2]","[1]",max,,,False,32,Adam,,0.0002,0.0,False,EXPERIMENT_EXTRA
4,"[160, 320, 640, 960]",True,minmax,0.35,"[1, 3]","[2, 3]",attention,512,silu,True,48,RMSprop,,0.0006,1e-05,False,EXPERIMENT_EXTRA
2,"[448, 448]",True,L2,0.15,"[1]","[1]",last,128,tanh,False,96,Adam,,0.00025,1e-06,False,EXPERIMENT_EXTRA
3,"[320, 320, 320]",False,minmax,0.1,"[2]",[],mean,256,leakyrelu,True,64,AdamW,,0.00015,2e-06,False,EXPERIMENT_EXTRA
4,"[224, 224, 224, 224]",True,,0.2,"[1, 2, 3]","[1]",max,,,False,128,SGD,0.7,0.0003,5e-06,False,EXPERIMENT_EXTRA
3,"[576, 384, 256]",True,L2,0.0,[],"[1, 2]",attention,512,gelu,True,32,AdamW,,0.00035,1e-05,False,EXPERIMENT_EXTRA
2,"[288, 576]",False,minmax,0.0,[],[],last,128,relu,False,16,RMSprop,,0.00045,1e-06,False,EXPERIMENT_EXTRA
1,[704],True,,0.0,[],[],mean,256,elu,True,64,Adam,,0.00018,1e-06,False,EXPERIMENT_EXTRA
2,"[960, 480]",True,L2,0.3,"[1]","[1]",mean,384,silu,True,48,AdamW,,0.00022,2e-06,False,EXPERIMENT_EXTRA
3,"[448, 640, 896]",False,minmax,0.2,"[2]","[1, 2]",max,256,relu,False,96,SGD,0.85,0.0005,1e-05,False,EXPERIMENT_EXTRA
4,"[384, 512, 768, 1024]",True,L2,0.4,"[1, 2, 3]","[2, 3]",attention,512,gelu,True,32,Adam,,0.00012,1e-06,False,EXPERIMENT_EXTRA


2,"[1024, 1024]",False,L2,0.2,[],[],last,512,silu,True,32,AdamW,,1e-04,1e-06,True,NEW24
3,"[640, 640, 640]",False,minmax,0.3,[],[],mean,256,gelu,True,64,Adam,,3e-04,0.0,True,NEW24
4,"[160, 160, 160, 160]",True,,0.4,[],[],max,128,relu,False,128,RMSprop,,5e-04,1e-07,True,NEW24
2,"[896, 896]",True,L2,0.1,[],[],attention,,,True,48,AdamW,,2e-04,2e-06,True,NEW24
3,"[384, 384, 384]",True,,0.2,[],[],last,1024,relu,True,32,AdamW,,8e-04,1e-06,True,NEW24
4,"[512, 512, 512, 512]",False,minmax,0.3,[],[],attention,768,gelu,True,16,SGD,0.9,0.001,1e-05,True,NEW24
2,"[320, 640]",False,L2,0.2,"[1]","[1]",mean,256,tanh,True,96,AdamW,,2e-04,2e-06,False,NEW24
3,"[128, 448, 768]",True,minmax,0.3,"[1, 2]","[2]",attention,512,silu,True,32,Adam,,3e-04,0.0,False,NEW24
4,"[64, 160, 384, 896]",False,,0.25,"[1, 3]","[1, 2, 3]",last,256,gelu,False,64,AdamW,,1e-04,1e-06,False,NEW24
3,"[320, 768, 1024]",False,L2,0.2,"[2]","[1, 2]",max,128,leakyrelu,True,48,RMSprop,,5e-04,1e-06,False,NEW24
4,"[128, 256, 512, 1024]",True,minmax,0.3,"[1, 2, 3]","[2]",mean,,,True,32,AdamW,,2e-04,2e-06,False,NEW24
2,"[896, 1024]",True,,0.2,"[1]","[1]",attention,512,elu,True,16,SGD,0.8,8e-04,0.0,False,NEW24
2,"[1024, 1536]",False,L2,0.3,"[1]","[1]",last,512,gelu,True,32,AdamW,,1e-04,1e-06,False,NEW24
3,"[896, 512, 320]",True,,0.25,"[1, 2]","[1]",mean,256,silu,False,64,Adam,,2e-04,0.0,False,NEW24
4,"[768, 512, 192, 96]",False,minmax,0.2,"[2, 3]","[2]",max,128,relu,True,48,RMSprop,,5e-04,1e-06,False,NEW24
3,"[640, 320, 160]",True,L2,0.3,"[1]","[1, 2]",attention,,,True,32,AdamW,,3e-04,2e-06,False,NEW24
4,"[512, 256, 128, 64]",True,,0.25,"[1, 2, 3]","[1, 3]",last,768,elu,False,16,SGD,0.7,0.001,1e-05,False,NEW24
2,"[448, 224]",False,minmax,0.2,"[1]","[1]",mean,256,tanh,True,96,Adam,,5e-04,0.0,False,NEW24
